stamp,x,y,yaw,v,w,collisions,blocked_commands,distance,quality_enabled,top_blocked,all_blocked,reset_sequence,evidence
1789808747.6600516,-3.198501980534446,0.614300668956761,0.7530678430000108,0.5647058823529411,0.125,0,0,1.2908832470823624,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.6849923,-3.1882410661700806,0.6239487600544436,0.7561854970000113,0.5647058823529411,0.125,0,0,1.3049677075058936,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.7100132,-3.177332422837705,0.6342379810373566,0.7561854970000113,0.5999999999999999,0.0,0,0,1.3199632591058916,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.7349,-3.166458518127981,0.6444944359508138,0.7561854970000113,0.5999999999999999,0.0,0,0,1.3349110573058922,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.759994,-3.156144204297802,0.6542230750723128,0.7561854970000113,0.5647058823529411,0.0,0,0,1.3490896146705813,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.7851245,-3.1458265954394897,0.6639548221213128,0.7561854970000113,0.5647058823529411,0.0,0,0,1.3632727015411763,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.8099723,-3.1356146501345847,0.6735869054799966,0.7561854970000113,0.5647058823529411,0.0,0,0,1.3773105381529553,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.8347075,-3.1248298066286484,0.6837909209355413,0.7592786316250084,0.5999999999999999,0.125,0,0,1.392157584352942,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.8598187,-3.1139193645390315,0.6941783874844178,0.7624170556250078,0.5999999999999999,0.125,0,0,1.407222019552939,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
1789808747.8848248,-3.103084199775373,0.7045590803721911,0.7655431636250114,0.5999999999999999,0.125,0,0,1.422227337952956,True,False,True,5,synthetic_2d_kinematics_ideal_odometry
