scenario,mode,runs,successes,success_rate,collision_cells,invalid_successes,detour_fraction,length_m_mean,length_m_std,latent_quality_mean_mean,latent_quality_mean_std,synthetic_low_quality_exposure_m_mean,synthetic_low_quality_exposure_m_std,unknown_exposure_m_mean,unknown_exposure_m_std,planning_ms_mean,planning_ms_std
high_variance,no_age,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,2.4153298000328505,3.1755918431510044
unobserved_direct_route,geometric,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,27.0,0.0,0.9408674000496831,1.7287179101605123
unobserved_direct_route,linear,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011673557067701,0.0010017549557989915,0.0,0.0,0.0,0.0,4.923518400028115,4.83662221251523
unobserved_direct_route,nonlinear,10,10,1.0,0,0,1.0,56.48528137423857,7.105427357601002e-15,0.9004865321446285,0.000986831830917602,0.0,0.0,0.0,0.0,1.7305014000157826,0.29120281778223533
unobserved_direct_route,full,10,10,1.0,0,0,1.0,56.48528137423857,6.2663979156823534e-15,0.900862621046709,0.00100268192422789,0.0,0.0,0.0,0.0,5.900188699888531,5.088758956281493
unobserved_direct_route,no_variance,10,10,1.0,0,0,1.0,56.48528137423857,7.105427357601002e-15,0.9004355793273342,0.0009893033674394534,0.0,0.0,0.0,0.0,2.9730219999692054,3.035982875362468
unobserved_direct_route,no_count,10,10,1.0,0,0,1.0,56.48528137423857,6.2663979156823534e-15,0.9008795340261994,0.001029614476234709,0.0,0.0,0.0,0.0,3.7697568000567117,4.153430038163796
unobserved_direct_route,no_age,10,10,1.0,0,0,1.0,56.48528137423857,6.2663979156823534e-15,0.900862621046709,0.00100268192422789,0.0,0.0,0.0,0.0,5.045609299986609,4.775058515757688
no_path,geometric,10,0,0.0,0,0,,,,,,,,,,1.3904211999488325,0.2867829097165972
no_path,linear,10,0,0.0,0,0,,,,,,,,,,4.372526800034393,4.827015007259147
no_path,nonlinear,10,0,0.0,0,0,,,,,,,,,,2.3833757999454974,2.251383553993154
no_path,full,10,0,0.0,0,0,,,,,,,,,,2.3421183000209567,1.5929883546717576
no_path,no_variance,10,0,0.0,0,0,,,,,,,,,,1.6145940000114933,1.3290419878595228
no_path,no_count,10,0,0.0,0,0,,,,,,,,,,2.140690199985329,2.9333528302334626
no_path,no_age,10,0,0.0,0,0,,,,,,,,,,2.1052343999144796,2.440111911697949
