scenario,mode,runs,successes,success_rate,collision_cells,invalid_successes,detour_fraction,length_m_mean,length_m_std,latent_quality_mean_mean,latent_quality_mean_std,synthetic_low_quality_exposure_m_mean,synthetic_low_quality_exposure_m_std,unknown_exposure_m_mean,unknown_exposure_m_std,planning_ms_mean,planning_ms_std
high_variance,geometric,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,0.4472533000352996,0.07963519518343362
high_variance,linear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,1.9678362999457022,1.9994785686458356
high_variance,nonlinear,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,1.7088323999814747,0.9878539695230586
high_variance,full,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,4.7547591001603,3.72481609442223
high_variance,no_variance,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,2.4613289999706467,2.6708984578441215
high_variance,no_count,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,4.991304999930435,4.5267499926547154
high_variance,no_age,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,0.0,0.0,3.2063548000678566,2.829429790976697
unobserved_direct_route,geometric,10,10,1.0,0,0,0.0,38.0,0.0,0.4026311369573265,0.0037913356158709257,27.0,0.0,27.0,0.0,0.4634841999177297,0.12475570432601465
unobserved_direct_route,linear,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011673557067701,0.0010017549557989915,0.0,0.0,0.0,0.0,6.502760000057606,4.782064161623059
unobserved_direct_route,nonlinear,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011673557067701,0.0010017549557989915,0.0,0.0,0.0,0.0,4.475120899951435,4.772565379440373
unobserved_direct_route,full,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,5.215766500077734,4.921546932492154
unobserved_direct_route,no_variance,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,5.172164400028123,4.790297305393628
unobserved_direct_route,no_count,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011673557067701,0.0010017549557989915,0.0,0.0,0.0,0.0,5.724268799940546,4.720138466831012
unobserved_direct_route,no_age,10,10,1.0,0,0,1.0,56.48528137423857,5.801557143511545e-15,0.9011751164903531,0.0010009472007490043,0.0,0.0,0.0,0.0,4.478395200021623,4.3604444898267865
no_path,geometric,10,0,0.0,0,0,,,,,,,,,,1.3889152000047034,0.8913746496171583
no_path,linear,10,0,0.0,0,0,,,,,,,,,,2.3691675000463874,2.6310516632859136
no_path,nonlinear,10,0,0.0,0,0,,,,,,,,,,1.767906899931404,1.1645371540767184
no_path,full,10,0,0.0,0,0,,,,,,,,,,1.1158904999774677,0.26798012140282534
no_path,no_variance,10,0,0.0,0,0,,,,,,,,,,2.8634274000069126,3.856255932596281
no_path,no_count,10,0,0.0,0,0,,,,,,,,,,1.236763700035226,0.32330029981497144
no_path,no_age,10,0,0.0,0,0,,,,,,,,,,1.4392032999694493,0.9636487496774572
